941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
146478,46957,190162,436665,225943,12921,98097,80390,6271,90047,10467,7959,53792,38318,24124,8274,12008,17346,23.799999
88048,49008,88512,269884,166782,7055,73284,61914,17171,74249,15663,17068,34407,15018,15098,20416,19901,12881,23.799999
322448,215176,295848,589915,306733,96906,317110,136092,28243,69783,27944,35301,63979,28204,40637,28166,51266,41030,23.799999
112800,114353,213294,123362,79817,85497,439755,201951,2721,127742,8321,13637,81691,84056,81772,23335,5658,14850,23.799999
231850,99942,205613,94812,81574,97053,87111,33754,13156,83358,18123,17356,42551,70257,76405,29413,16469,25475,23.799999
866797,1409311,1929681,1082586,342688,139676,200454,45783,108609,339340,137602,82734,326223,110213,128041,155984,181776,197604,23.799999
104959,176793,313763,124601,118591,55047,39069,44109,33734,132875,34195,36786,49648,92039,67794,25469,29188,9833,23.799999
206476,133067,36540,7648,45252,80708,213424,64712,40244,208796,31450,33219,17303,48815,48281,37902,23870,43385,27
199378,113311,19570,9681,34427,28239,78650,31348,12768,133913,15600,12814,9984,14140,7839,8570,14126,14447,27
498457,261447,43743,107027,145296,123686,438204,171584,22721,423669,36282,35393,62380,61211,6530,66219,36589,32709,27
341823,173165,26856,41576,62266,38971,158041,64282,23202,135096,20555,18564,18282,8387,19934,26652,27163,25704,27
167027,169403,204228,57880,57035,29905,188431,166067,59847,189318,70457,73758,129940,49196,91123,221142,123652,49945,27
74966,52109,97743,53697,88419,281292,205497,89408,69280,211372,58314,132701,114490,99488,196311,239595,184701,134864,27
176373,93038,30315,23658,27726,7010,139142,137629,38562,182389,39906,35917,42248,49518,72819,42568,23455,58985,27
47224,60046,81184,60171,43194,17673,109610,43243,18508,164970,25558,21906,26739,38958,49053,23384,19312,51258,27
48340,40855,23063,14480,13646,12511,30608,21899,18249,142435,18069,14667,12433,22603,26570,10918,10086,16748,27
328719,317098,229946,77024,52467,4288,30424,19026,15569,18466,17278,31682,33948,28334,31650,7987,32687,40390,32.650002
45028,36911,23100,14100,10560,5038,20260,11083,13104,6089,9131,21056,18564,21351,31144,14306,17058,4747,32.650002
353295,335378,239512,62518,63848,11726,5004,5979,17776,12529,25356,53165,38801,25088,62143,9501,27001,38921,32.650002
39760,43286,34058,12731,34163,11293,6701,9516,20813,7735,25185,53132,57332,13200,31632,7776,17292,23062,32.650002
317055,305959,222171,76942,27635,32168,21154,20864,25579,24741,18462,28025,75076,39062,72481,4635,57625,85628,32.650002
40150,38743,22801,11888,39584,7680,10591,9372,18718,8086,21920,36737,62811,13787,20812,10628,14767,10221,32.650002
106307,107072,77681,28225,15271,14106,16700,12346,9488,14366,7397,9960,20808,23008,37796,10016,35351,43115,32.650002
130895,106083,62352,7319,24111,8926,17923,11724,12033,8909,9415,16484,50316,23919,37304,17911,18115,34953,32.650002
279683,253039,183724,75026,54555,42077,12119,23197,25985,37083,9634,7919,102028,26078,41134,29213,40318,45432,32.650002
130941,127032,89748,20462,14875,13937,18282,12320,13096,15953,9103,11804,64129,11047,15460,9049,17462,20757,32.650002
51122,41479,27929,14026,18838,11206,20515,14414,11830,12936,8427,10924,44419,32890,46257,19231,42985,46698,32.650002
118823,120284,86439,28904,16920,25142,42068,28082,32977,31174,25156,29103,63308,41882,37443,33757,45521,55324,32.650002
119967,112769,108685,112883,121692,146990,156519,154995,82892,149951,50162,66327,113468,125666,126477,128384,126712,118300,26.6
